_TRAIN_sort_SKIP0,,,,,,,,,,,,,,,
det step,num_frames,num_unique_objects,num_objects,mota,motp,precision,recall,num_switches,mostly_tracked,partially_tracked,mostly_lost,num_fragmentations,num_false_positives,num_misses,framerate
15,1408.5,58.425,16894.35,0.305825933684662,0.165689209059986,0.788587074782952,0.400290666119756,75.5,7.175,26.275,24.975,289.75,1518.225,10312.875,152.884568659713
20,1408.5,58.425,16894.35,0.303746773048023,0.165052329964768,0.791944657166393,0.393785179736536,62.05,7,26.275,25.15,247.775,1434.9,10407.275,153.316391360135
,,,,,,,,,,,,,,,
_TRAIN_sort_SKIP5,,,,,,,,,,,,,,,
det step,num_frames,num_unique_objects,num_objects,mota,motp,precision,recall,num_switches,mostly_tracked,partially_tracked,mostly_lost,num_fragmentations,num_false_positives,num_misses,framerate
6,1408.5,58.425,16894.35,0.401826154165876,0.153060809337115,0.814265015098326,0.511678358791032,74.05,13.5,30.475,14.45,207.325,1789.175,8600.3,114.040299169343
12,1408.5,58.425,16894.35,0.285124912868903,0.167974982338954,0.773959072686218,0.381455043879354,65.425,6.45,24.3,27.675,297.725,1562.15,10575.8,135.189909800518
18,1408.5,58.425,16894.35,0.266886289455457,0.168650858723042,0.762594330194698,0.364993273360797,63.775,6.125,23.025,29.275,259.65,1585.875,10788.35,167.545041228916
24,1408.5,58.425,16894.35,0.26564487301596,0.166895796402754,0.7660133411,0.357620959519041,50.025,5.825,22.45,30.15,220.325,1468.35,10901.225,168.759099394875
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
_SOTA,,,,,,,,,,,,,,,
1,1408.5,58.425,16894.35,0.455013849408572,0.144959115438295,0.861170894732228,0.544098755063313,142.525,17.625,29.1,11.7,186.7,1394.35,8128.575,22.3073891384177
2,1408.5,58.425,16894.35,0.450937442204,0.146180800170384,0.855581691881208,0.541330086665579,109.35,17.25,29.225,11.95,196.525,1453.2,8156.725,45.2801476427116
3,1408.5,58.425,16894.35,0.446137816478491,0.14753761258321,0.849916839197063,0.538409586111861,94.675,17.225,28.8,12.4,190.775,1506.275,8216.425,67.8263157156639
4,1408.5,58.425,16894.35,0.435667290343682,0.149143705858596,0.842021811333635,0.531684223454951,86.15,16.475,28.925,13.025,195.2,1572.85,8306.825,86.9791834618171
5,1408.5,58.425,16894.35,0.421963576896071,0.150870401779069,0.830728549504591,0.523561955828897,77.15,15.625,29.175,13.625,197.6,1669.925,8430.125,99.7867557141877
6,1408.5,58.425,16894.35,0.401826154165876,0.153060809337115,0.814265015098326,0.511678358791032,74.05,13.5,30.475,14.45,207.325,1789.175,8600.3,114.040299169343
